# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.581869721412658691e-02 3.554478883743286133e-01 2.783383131027221680e-01 6.143436580896377563e-02 5.234584957361221313e-02 6.413716822862625122e-02 3.517370522022247314e-01 2.919937372207641602e-01 6.143436580896377563e-02 5.234584957361221313e-02
1.000000000000000000e+02 2.958797631436027586e-05 5.545016392716206610e-05 2.080807316815480590e-04 5.335537571227177978e-05 1.580631396791432053e-05 2.200422568421345204e-05 4.778459333465434611e-05 1.732140954118221998e-04 5.335537571227177978e-05 1.580631396791432053e-05
2.000000000000000000e+02 1.505223463027505204e-05 3.157614992232993245e-05 8.526042074663564563e-05 1.025790152198169380e-05 1.058853376889601350e-05 1.163217257271753624e-05 2.659561323525849730e-05 7.113673927960917354e-05 1.025790152198169380e-05 1.058853376889601350e-05
3.000000000000000000e+02 1.332630108663579449e-05 2.175253393943421543e-05 4.021821587230078876e-05 7.576637472084257752e-06 6.336637397907907143e-06 1.105842238757759333e-05 1.812461232475470752e-05 3.377437315066345036e-05 7.576637472084257752e-06 6.336637397907907143e-06
4.000000000000000000e+02 1.260077260667458177e-05 1.715604048513341695e-05 2.349918759136926383e-05 6.136138836154714227e-06 4.317063940106891096e-06 1.078389595932094380e-05 1.417979729012586176e-05 1.970333141798619181e-05 6.136138836154714227e-06 4.317063940106891096e-06
5.000000000000000000e+02 1.133338173531228676e-05 1.355561744276201352e-05 1.638375761103816330e-05 5.200276973482687026e-06 3.284456624896847643e-06 9.764137757883872837e-06 1.117415558837819844e-05 1.370312384096905589e-05 5.200276973482687026e-06 3.284456624896847643e-06
6.000000000000000000e+02 9.872414921119343489e-06 1.056057226378470659e-05 1.256455652764998376e-05 4.489435923460405320e-06 2.657656978044542484e-06 8.468146006634924561e-06 8.705012078280560672e-06 1.051328399626072496e-05 4.489435923460405320e-06 2.657656978044542484e-06
7.000000000000000000e+02 8.529942533641587943e-06 8.231912943301722407e-06 1.012308439385378733e-05 3.894816472893580794e-06 2.220186161139281467e-06 7.248209385579684749e-06 6.789110102545237169e-06 8.486907972837798297e-06 3.894816472893580794e-06 2.220186161139281467e-06
8.000000000000000000e+02 7.397180070256581530e-06 6.486095571744954214e-06 8.406968845520168543e-06 3.374905872988165356e-06 1.888281417450343724e-06 6.216692327143391594e-06 5.349766524886945263e-06 7.058360097289551049e-06 3.374905872988165356e-06 1.888281417450343724e-06
9.000000000000000000e+02 6.458308689616387710e-06 5.183777830097824335e-06 7.136056865419959649e-06 2.913421212724642828e-06 1.623584466869942844e-06 5.369580776459770277e-06 4.272367732482962310e-06 5.990404133626725525e-06 2.913421212724642828e-06 1.623584466869942844e-06
